current,counts,counts_bkgd,run,cycle_num,irradiation_time,storage_time,count_time,bkgd_time,is_last_20s
0.998939622850979,1869,0,2548,20,20.0,110.0,20.0,0.0,True
0.9988045850220848,2062,0,2548,22,40.0,110.0,20.0,0.0,True
0.9990746484083288,0,1899,2548,23,40.0,110.0,0.0,20.0,True
0.9997806651251656,2020,0,2548,24,40.0,110.0,20.0,0.0,True
4.993859767913818,130531,0,2551,0,100.0,10.0,120.0,0.0,False
4.995442867279053,0,32589,2551,1,100.0,10.0,0.0,120.0,False
4.995970567067464,131650,0,2551,2,100.0,10.0,120.0,0.0,False
4.993859767913818,4702,0,2551,0,100.0,110.0,20.0,0.0,True
4.995442867279053,0,4492,2551,1,100.0,110.0,0.0,20.0,True
4.995970567067464,4814,0,2551,2,100.0,110.0,20.0,0.0,True
4.994123617808024,132279,0,2552,0,100.0,10.0,120.0,0.0,False
4.994123617808024,4745,0,2552,0,100.0,110.0,20.0,0.0,True
4.998411178588867,50702,0,2553,0,10.0,10.0,120.0,0.0,False
5.0012805461883545,0,16465,2553,1,10.0,10.0,0.0,120.0,False
4.99554181098938,45806,0,2553,2,10.0,10.0,120.0,0.0,False
5.00159936481052,0,14017,2553,3,10.0,10.0,0.0,120.0,False
4.999048815833198,44306,0,2553,4,10.0,10.0,120.0,0.0,False
4.998411178588867,3066,0,2553,0,10.0,110.0,20.0,0.0,True
5.0012805461883545,0,2397,2553,1,10.0,110.0,0.0,20.0,True
4.99554181098938,2374,0,2553,2,10.0,110.0,20.0,0.0,True
5.00159936481052,0,2180,2553,3,10.0,110.0,0.0,20.0,True
4.999048815833198,2323,0,2553,4,10.0,110.0,20.0,0.0,True
4.99379768558577,115330,0,2554,0,60.0,10.0,120.0,0.0,False
4.99664541391226,0,25632,2554,1,60.0,10.0,0.0,120.0,False
4.99379768558577,3943,0,2554,0,60.0,110.0,20.0,0.0,True
4.99664541391226,0,3598,2554,1,60.0,110.0,0.0,20.0,True
2.461902491748333,0,15091,2555,1,20.0,10.0,0.0,120.0,False
4.997398460612578,67020,0,2555,2,20.0,10.0,120.0,0.0,False
4.993347588707419,0,16052,2555,3,20.0,10.0,0.0,120.0,False
4.99874875124763,66923,0,2555,4,20.0,10.0,120.0,0.0,False
2.461902491748333,0,2292,2555,1,20.0,110.0,0.0,20.0,True
4.997398460612578,2490,0,2555,2,20.0,110.0,20.0,0.0,True
4.993347588707419,0,2470,2555,3,20.0,110.0,0.0,20.0,True
4.99874875124763,2538,0,2555,4,20.0,110.0,20.0,0.0,True
4.99664541391226,113130,0,2556,0,60.0,10.0,120.0,0.0,False
4.993755223616114,0,24353,2556,1,60.0,10.0,0.0,120.0,False
4.994879649235652,113199,0,2556,2,60.0,10.0,120.0,0.0,False
4.99664541391226,3775,0,2556,0,60.0,110.0,20.0,0.0,True
4.993755223616114,0,3508,2556,1,60.0,110.0,0.0,20.0,True
4.994879649235652,3837,0,2556,2,60.0,110.0,20.0,0.0,True
4.993000371115548,99415,0,2557,0,40.0,10.0,120.0,0.0,False
4.995373024659998,0,21943,2557,1,40.0,10.0,0.0,120.0,False
4.995623792920794,97899,0,2557,2,40.0,10.0,120.0,0.0,False
4.999558925628662,0,21968,2557,3,40.0,10.0,0.0,120.0,False
4.993000371115548,3618,0,2557,0,40.0,110.0,20.0,0.0,True
4.995373024659998,0,3190,2557,1,40.0,110.0,0.0,20.0,True
4.995623792920794,3426,0,2557,2,40.0,110.0,20.0,0.0,True
4.999558925628662,0,3155,2557,3,40.0,110.0,0.0,20.0,True
36.64248709245162,861950,0,2575,0,100.0,10.0,120.0,0.0,False
36.65206168163782,874343,0,2575,2,100.0,10.0,120.0,0.0,False
36.66965168920056,881491,0,2575,3,100.0,10.0,120.0,0.0,False
36.685482945935476,0,191111,2575,4,100.0,10.0,0.0,120.0,False
36.65118217468262,277808,0,2575,5,10.0,10.0,120.0,0.0,False
36.70857000350952,0,47448,2575,6,10.0,10.0,0.0,120.0,False
36.693691677517364,271868,0,2575,7,10.0,10.0,120.0,0.0,False
36.66295403700609,756105,0,2575,8,60.0,10.0,120.0,0.0,False
36.68061183049129,0,129984,2575,9,60.0,10.0,0.0,120.0,False
36.63941038571871,770481,0,2575,10,60.0,10.0,120.0,0.0,False
36.65868385165346,768898,0,2575,11,60.0,10.0,120.0,0.0,False
36.64248709245162,25387,0,2575,0,100.0,110.0,20.0,0.0,True
36.65206168163782,25310,0,2575,2,100.0,110.0,20.0,0.0,True
36.66965168920056,25515,0,2575,3,100.0,110.0,20.0,0.0,True
36.685482945935476,0,25010,2575,4,100.0,110.0,0.0,20.0,True
36.65118217468262,8215,0,2575,5,10.0,110.0,20.0,0.0,True
36.70857000350952,0,7172,2575,6,10.0,110.0,0.0,20.0,True
36.693691677517364,7558,0,2575,7,10.0,110.0,20.0,0.0,True
36.66295403700609,18142,0,2575,8,60.0,110.0,20.0,0.0,True
36.68061183049129,0,17256,2575,9,60.0,110.0,0.0,20.0,True
36.63941038571871,20226,0,2575,10,60.0,110.0,20.0,0.0,True
36.65868385165346,19850,0,2575,11,60.0,110.0,20.0,0.0,True
36.63417837354872,432367,0,2576,0,21.0,10.0,120.0,0.0,False
36.65118217468262,0,63146,2576,1,21.0,10.0,0.0,120.0,False
36.659684075249565,441286,0,2576,3,21.0,10.0,120.0,0.0,False
36.65118217468262,0,63799,2576,4,21.0,10.0,0.0,120.0,False
36.63417837354872,9339,0,2576,0,21.0,110.0,20.0,0.0,True
36.65118217468262,0,8949,2576,1,21.0,110.0,0.0,20.0,True
36.659684075249565,10003,0,2576,3,21.0,110.0,20.0,0.0,True
36.65118217468262,0,9141,2576,4,21.0,110.0,0.0,20.0,True
36.6692034777473,656716,0,2577,0,40.0,10.0,120.0,0.0,False
36.6376963222728,0,110841,2577,1,40.0,10.0,0.0,120.0,False
36.633194979499365,675919,0,2577,2,40.0,10.0,120.0,0.0,False
36.6692034777473,16151,0,2577,0,40.0,110.0,20.0,0.0,True
36.6376963222728,0,14571,2577,1,40.0,110.0,0.0,20.0,True
36.633194979499365,19202,0,2577,2,40.0,110.0,20.0,0.0,True
21.99871905096646,683155,0,2579,0,100.0,10.0,120.0,0.0,False
20.856553987524975,657899,0,2579,5,100.0,10.0,120.0,0.0,False
21.478123105805494,690784,0,2579,6,100.0,10.0,120.0,0.0,False
21.58527012304826,714387,0,2579,9,100.0,10.0,120.0,0.0,False
21.58485388481754,0,293413,2579,10,100.0,10.0,0.0,120.0,False
21.573343167359802,716088,0,2579,11,100.0,10.0,120.0,0.0,False
21.577528898743378,757200,0,2579,12,100.0,10.0,120.0,0.0,False
21.99871905096646,37925,0,2579,0,100.0,110.0,20.0,0.0,True
20.856553987524975,34248,0,2579,5,100.0,110.0,20.0,0.0,True
21.478123105805494,39711,0,2579,6,100.0,110.0,20.0,0.0,True
21.58527012304826,39766,0,2579,9,100.0,110.0,20.0,0.0,True
21.58485388481754,0,39543,2579,10,100.0,110.0,0.0,20.0,True
21.573343167359802,41347,0,2579,11,100.0,110.0,20.0,0.0,True
21.577528898743378,47674,0,2579,12,100.0,110.0,20.0,0.0,True
21.54181933403015,278136,0,2580,0,10.0,10.0,120.0,0.0,False
21.601247999403213,0,116151,2580,1,10.0,10.0,0.0,120.0,False
21.601247999403213,234416,0,2580,2,10.0,10.0,120.0,0.0,False
21.54181933403015,234867,0,2580,3,10.0,10.0,120.0,0.0,False
21.56078592936198,0,107460,2580,4,10.0,10.0,0.0,120.0,False
21.632858991622925,237512,0,2580,5,10.0,10.0,120.0,0.0,False
21.564579248428345,247452,0,2580,6,10.0,10.0,120.0,0.0,False
21.54181933403015,20823,0,2580,0,10.0,110.0,20.0,0.0,True
21.601247999403213,0,17414,2580,1,10.0,110.0,0.0,20.0,True
21.601247999403213,16023,0,2580,2,10.0,110.0,20.0,0.0,True
21.54181933403015,16732,0,2580,3,10.0,110.0,20.0,0.0,True
21.56078592936198,0,16299,2580,4,10.0,110.0,0.0,20.0,True
21.632858991622925,16016,0,2580,5,10.0,110.0,20.0,0.0,True
21.564579248428345,19141,0,2580,6,10.0,110.0,20.0,0.0,True
21.584713018857517,667815,0,2581,0,60.0,10.0,120.0,0.0,False
21.584713055537296,0,312662,2581,1,60.0,10.0,0.0,120.0,False
21.591716106121357,684411,0,2581,2,60.0,10.0,120.0,0.0,False
21.59696835737962,656041,0,2581,3,60.0,10.0,120.0,0.0,False
21.584713018857517,41814,0,2581,0,60.0,110.0,20.0,0.0,True
21.584713055537296,0,40704,2581,1,60.0,110.0,0.0,20.0,True
21.591716106121357,43127,0,2581,2,60.0,110.0,20.0,0.0,True
21.59696835737962,42859,0,2581,3,60.0,110.0,20.0,0.0,True
21.567926294663373,404278,0,2582,0,20.0,10.0,120.0,0.0,False
