# TCN6A-150-10 (Lifetime measurment)
# He3 detector
# 10 seconds irradiation
# 120 seconds counting
# 10 uA
# Derek Fujimoto
# This file written 2025-06-23 17:19:02.800252
run,cycle,counts,counts_bkgd,irr_s,storage_s,count_s,bkgd_s,beam1a_current_uA,dbeam1a_current_uA,beam1u_current_uA,dbeam1u_current_uA
2685,0,4339,0,61.0,0.0,119.0,119.0,99.87867405729473,0.048575117679625794,0.9988731629443619,0.0004930905575851615
2685,1,70,0,61.0,119.0,120.0,120.0,99.89548012062356,0.0459852990305376,0.962220369665711,0.025924188852516766
2685,3,236,0,60.0,80.0,120.0,120.0,99.99104928070645,0.05258118122094002,0.98123995200643,0.018877076392611773
2685,4,3500,0,60.0,5.0,120.0,120.0,99.38549027076134,0.19987671184275402,0.9935905520732586,0.0020233226901655668
2685,5,982,0,60.0,40.0,120.0,120.0,99.92289425776555,0.05854548668277668,0.9800231468219024,0.019223818821214485
2685,6,2901,0,60.0,10.0,120.0,120.0,99.96694652850812,0.045947837479721504,0.9997575454987012,0.0004642554459617494
2685,7,1909,0,60.0,20.0,120.0,120.0,99.94932336073656,0.046605247263316836,0.9994932390176333,0.0004988594124190862
2685,8,0,64,60.0,0.0,0.0,240.0,99.92289088322566,0.04475605390304087,0.9994932034840951,0.0004487501519799054
2685,9,4390,0,60.0,0.0,120.0,120.0,99.94050994286171,0.05245814630205284,0.9993169766206008,0.0005342107842606462
2685,10,76,0,60.0,120.0,120.0,120.0,99.90460205078125,0.047558375215499965,0.9806348434034383,0.018864306681319016
2685,14,875,0,61.0,39.0,120.0,120.0,99.95488173873336,0.045025433125040315,0.9809271251713788,0.018513582184626013
2686,0,22528,0,61.0,0.0,119.0,119.0,99.94783034414615,0.050490135447695025,4.996958876555821,0.0024213623301650848
2686,1,273,0,61.0,119.0,120.0,120.0,99.60207568474536,0.1563171157192722,4.885454276822648,0.09427300057292896
2686,2,20762,0,61.0,1.0,120.0,120.0,99.92094251844618,0.0681511004909262,4.809829747235334,0.12961745964820365
2686,4,18183,0,61.0,4.0,120.0,120.0,99.97184626261394,0.05637411147615439,4.8149200192204225,0.12973040611801162
2686,5,4587,0,61.0,39.0,120.0,120.0,99.96510775584095,0.06091123083084641,4.999551782068217,0.0031556291257070273
2686,6,15038,0,61.0,9.0,120.0,120.0,100.58745632531507,0.3061775985462466,4.9351555986224485,0.0961311298712232
2686,7,10084,0,61.0,19.0,120.0,120.0,100.0342641866432,0.07099760304171983,5.001712916032323,0.003549881812749943
2687,0,1075,0,60.0,80.0,120.0,120.0,99.96694065974309,0.050852553598321644,4.998787412276635,0.0021440528602558696
2687,1,0,65,60.0,0.0,0.0,240.0,99.98456001281738,0.03748345772166537,4.998787210537837,0.0019507745400825537
2688,0,46464,0,61.59999990463257,0.0,122.40000009536743,122.40000009536743,99.9124430903682,0.04065586174955123,9.623900378191912,0.2592896566653477
2688,1,551,0,61.0,120.5,122.5,122.5,100.00577629937067,0.0413033614024352,9.813087428057635,0.1852037092047664
2688,2,42711,0,61.0,2.5,122.5,122.5,99.81817195100605,0.05743910896769956,9.79424705145494,0.1884449295985621
2688,3,2152,0,61.0,80.5,122.5,122.5,99.92093926888926,0.05370942803637512,9.617113749186197,0.2591255812218644
2689,0,9458,0,60.0,40.0,124.0,124.0,100.01100217379056,0.05343030771029089,9.998457266734196,0.005318769481622817
2689,1,31088,0,60.0,10.0,124.0,124.0,99.88301172796285,0.051777934377444414,9.796841873312896,0.1884794473024036
2689,2,20631,0,60.0,20.0,124.0,124.0,99.95814455472507,0.05116058263860169,9.994052483485294,0.005169319974009161
2689,3,3,56,60.0,0.0,4.0,240.0,99.96944744182083,0.048392265116108946,9.807214125147405,0.18866299571003017
2689,4,37692,0,60.0,5.0,124.0,124.0,99.9933829674354,0.05571682264684536,9.996695390114418,0.005673185983993515
2690,0,94242,0,61.0,0.0,123.0,123.0,99.9651136578254,0.041596273999430264,19.614424543560677,0.37728961868723193
2690,1,1102,0,61.0,119.0,124.0,124.0,99.92094110559535,0.05766004660721881,19.24271195023148,0.5184811433041329
2690,2,86472,0,60.0,2.0,124.0,124.0,100.04624440119817,0.04733491795075776,20.002199319692757,0.009258951264826728
2690,3,4365,0,60.0,80.0,124.0,124.0,99.94051390427809,0.046030360120494024,19.99162582250742,0.009758248390871868
2690,4,76956,0,60.0,5.0,124.0,124.0,99.93170224703275,0.04712471697956956,20.00043619596041,0.008472701140250175
2690,5,19448,0,60.0,40.0,124.0,124.0,99.95813281719501,0.0503863747087193,19.982815045576828,0.010752298468823977
2690,6,62148,0,60.0,10.0,124.0,124.0,99.94783250340876,0.04895896826412349,19.991294428987324,0.009891118141843971
2690,7,41563,0,61.0,19.0,124.0,124.0,99.93054371959758,0.05094356949380805,19.607510656680702,0.3772262662614163
2690,8,0,45,60.0,0.0,0.0,240.0,17.010928603838074,5.215940751663977,3.023588972271613,0.994454543881982
