# TCN6A-150-10 (Lifetime measurment)
# He3 detector
# 10 seconds irradiation
# 120 seconds counting
# 10 uA
# Derek Fujimoto
# This file written 2025-06-24 11:14:26.856769
run,cycle,counts,counts_bkgd,irr_s,storage_s,count_s,bkgd_s,beam1a_current_uA,dbeam1a_current_uA,beam1u_current_uA,dbeam1u_current_uA
2685,0,2412,0,71.0,0.0,109.0,109.0,99.90697811495873,0.0450679685645588,0.853875445742761,0.045053847254202126
2685,1,52,0,61.0,129.0,110.0,110.0,99.89548012062356,0.0459852990305376,0.962220369665711,0.025924188852516766
2685,3,153,0,60.0,90.0,110.0,110.0,99.99104928070645,0.05258118122094002,0.98123995200643,0.018877076392611773
2685,4,1968,0,60.0,15.0,110.0,110.0,99.38549027076134,0.19987671184275402,0.9935905520732586,0.0020233226901655668
2685,5,604,0,60.0,50.0,110.0,110.0,99.92289425776555,0.05854548668277668,0.9800231468219024,0.019223818821214485
2685,6,1694,0,60.0,20.0,110.0,110.0,99.96694652850812,0.045947837479721504,0.9997575454987012,0.0004642554459617494
2685,7,1112,0,60.0,30.0,110.0,110.0,99.94932336073656,0.046605247263316836,0.9994932390176333,0.0004988594124190862
2685,8,0,64,70.0,0.0,-10.0,230.0,99.93762532218558,0.04261975365355765,0.8520269931339827,0.04576278450298268
2685,9,2500,0,70.0,0.0,110.0,110.0,99.95264159655962,0.04607456716403673,0.8518767669552663,0.04575538150350735
2685,10,57,0,60.0,130.0,110.0,110.0,99.90460205078125,0.047558375215499965,0.9806348434034383,0.018864306681319016
2685,14,560,0,61.0,49.0,110.0,110.0,99.95488173873336,0.045025433125040315,0.9809271251713788,0.018513582184626013
2686,0,12526,0,71.0,0.0,109.0,109.0,99.9365343893728,0.044508396499350865,4.2715938783461045,0.22538583695619385
2686,1,192,0,61.0,129.0,110.0,110.0,99.60207568474536,0.1563171157192722,4.885454276822648,0.09427300057292896
2686,2,12388,0,61.0,11.0,110.0,110.0,99.92094251844618,0.0681511004909262,4.809829747235334,0.12961745964820365
2686,4,10749,0,61.0,14.0,110.0,110.0,99.97184626261394,0.05637411147615439,4.8149200192204225,0.12973040611801162
2686,5,2891,0,61.0,49.0,110.0,110.0,99.96510775584095,0.06091123083084641,4.999551782068217,0.0031556291257070273
2686,6,8977,0,61.0,19.0,110.0,110.0,100.58745632531507,0.3061775985462466,4.9351555986224485,0.0961311298712232
2686,7,5970,0,61.0,29.0,110.0,110.0,100.0342641866432,0.07099760304171983,5.001712916032323,0.003549881812749943
2687,0,686,0,60.0,90.0,110.0,110.0,99.96694065974309,0.050852553598321644,4.998787412276635,0.0021440528602558696
2687,1,0,65,70.0,0.0,-10.0,230.0,99.97517432541143,0.039195630263845815,4.343121880390605,0.21784425069639402
2688,0,25439,0,71.59999990463257,0.0,112.40000009536743,112.40000009536743,99.89183892144098,0.0379901235765394,8.24905746702164,0.48185415064341364
2688,1,348,0,61.0,130.5,112.5,112.5,100.00577629937067,0.0413033614024352,9.813087428057635,0.1852037092047664
2688,2,23259,0,61.0,12.5,112.5,112.5,99.81817195100605,0.05743910896769956,9.79424705145494,0.1884449295985621
2688,3,1331,0,61.0,90.5,112.5,112.5,99.92093926888926,0.05370942803637512,9.617113749186197,0.2591255812218644
2689,0,5882,0,60.0,50.0,114.0,114.0,100.01100217379056,0.05343030771029089,9.998457266734196,0.005318769481622817
2689,1,18128,0,60.0,20.0,114.0,114.0,99.88301172796285,0.051777934377444414,9.796841873312896,0.1884794473024036
2689,2,12170,0,60.0,30.0,114.0,114.0,99.95814455472507,0.05116058263860169,9.994052483485294,0.005169319974009161
2689,3,0,56,70.0,0.0,-6.0,230.0,99.97349031509891,0.0436506699572366,8.38358626827117,0.4707389635449431
2689,4,21585,0,60.0,15.0,114.0,114.0,99.9933829674354,0.05571682264684536,9.996695390114418,0.005673185983993515
2690,0,51895,0,71.0,0.0,113.0,113.0,99.95870061074534,0.04058505926729708,16.767169367882513,0.941467147616033
2690,1,734,0,61.0,129.0,114.0,114.0,99.92094110559535,0.05766004660721881,19.24271195023148,0.5184811433041329
2690,2,50825,0,60.0,12.0,114.0,114.0,100.04624440119817,0.04733491795075776,20.002199319692757,0.009258951264826728
2690,3,2772,0,60.0,90.0,114.0,114.0,99.94051390427809,0.046030360120494024,19.99162582250742,0.009758248390871868
2690,4,45082,0,60.0,15.0,114.0,114.0,99.93170224703275,0.04712471697956956,20.00043619596041,0.008472701140250175
2690,5,11896,0,60.0,50.0,114.0,114.0,99.95813281719501,0.0503863747087193,19.982815045576828,0.010752298468823977
2690,6,36627,0,60.0,20.0,114.0,114.0,99.94783250340876,0.04895896826412349,19.991294428987324,0.009891118141843971
2690,7,26056,0,61.0,29.0,114.0,114.0,99.93054371959758,0.05094356949380805,19.607510656680702,0.3772262662614163
2690,8,0,45,70.0,0.0,-10.0,230.0,14.825047801752559,4.584286268480828,2.627052713613041,0.8729485271312434
