amp,frac,tau1,tau2,off,damp,dfrac,dtau1,dtau2,doff,current,current_rounded,run,cycle,period
136.44883763889794,0.17202602204561554,0.0015605355921581403,922.2621511477889,-30.485128999401493,74.33747595766049,0.14328565265376625,0.004445366653279585,950.5089177673701,80.18870209562064,0.9992708181435207,1,2530,1,1
155.77996380647087,0.07450700634468443,0.005576979031783733,986.7492210240865,-56.79290958241611,0.0,0.0,0.0,0.0,0.0,0.9988876856290377,1,2530,9,1
318.4827641734403,0.08379691159203706,4.6605451155772055,468.6980348340271,-68.68102363457176,0.0,0.0,0.0,0.0,0.0,5.001059825603779,5,2558,10,1
583.0478070183477,0.00021823961854960938,622.706574535924,997.5560059195069,-361.219010676702,0.0,0.0,0.0,0.0,0.0,4.994621447797091,5,2558,17,3
159.75780162263075,0.23391456764305874,1.590925889886335,164.12968915316992,107.4614401271495,0.0,0.0,0.0,0.0,0.0,4.995762531573956,5,2558,1,1
8950.589407515241,0.4472805321273676,90.84186286279194,793.74569245009,172.0373603182557,88.65215275085666,0.02335095319364283,4.312125375502319,118.40074210090131,87.88263829118469,36.65706810584435,37,2573,10,1
6243.269072370221,0.05396252489149851,5.486826055636598,141.2812949617431,2641.7088248881832,0.0,0.0,0.0,0.0,0.0,36.55995141542875,37,2573,17,3
6395.615925414114,0.07297479070919201,5.312733042024218,141.81639987980208,3012.6141094488235,435.06883664873385,0.010753488182172422,1.7090610660521084,16.855611463068115,436.98488322364125,36.65412514026348,37,2573,1,1
7306.904367702904,0.06852728575673443,8.56174011935604,190.06577465609368,1527.9040120206507,0.0,0.0,0.0,0.0,0.0,36.64529646359957,37,2573,28,1
875.3803367641167,0.8422345582354901,35.03064903650758,799.9677840997183,889.3221303374385,98.8127950443,0.09285883069477711,801.3330251984275,1.6777814543967153,97.25604834611018,22.00710735680922,22,2578,17,3
1013.9028217647206,0.3991377097335087,46.205066201417175,982.0587141441458,96.58907162569153,27.055219761840817,0.04499692935325661,965.5617843857256,5.526500284447042,26.455263953793054,22.001970219162274,22,2578,1,1
1424.4878747553519,0.34098229194078306,278.7327336471865,284.23148030516853,-165.86698628207833,28.096416793570597,0.6697385112963248,94.40677541127275,46.93116229644215,28.31580713254233,22.010132716252254,22,2578,8,3
3604.11792300806,0.8488807137521645,607.9625129147032,992.8828119022758,-1818.3923210071691,2952.8289368482638,0.8925967859177801,733.4901064914561,780.1289734489127,2957.288946069106,10.991943799532377,11,2593,1,1
826.6407005008905,0.8187715389192713,99.7739337526674,100.02769740448876,532.7594557402236,47.60562512428049,0.05200550258120833,71.3241728236558,19.104929079676545,53.48507658138925,10.998071046975943,11,2593,8,3
