current,counts,run,cycle_num,period_num,is_background,storage_time,counts_last_20s
0.9996695254857724,14576,2608,8,3,True,20.0,2304
0.9996695254857724,14286,2608,8,3,True,40.0,2221
0.9996695254857724,13719,2608,8,3,True,80.0,2134
0.9996695254857724,13054,2608,8,3,True,120.0,2116
#0.999669570189256,154915,2608,17,3,True,0.0,3033
0.999669570189256,18713,2608,17,3,True,2.0,3036
0.999669570189256,18642,2608,17,3,True,5.0,3073
0.999669570189256,18561,2608,17,3,True,10.0,3021
0.999669570189256,18523,2608,17,3,True,20.0,2987
0.999669570189256,18215,2608,17,3,True,40.0,3002
0.999669570189256,17997,2608,17,3,True,80.0,2927
0.999669570189256,17819,2608,17,3,True,120.0,3003
