current,counts,run,cycle_count,start,stop
21.969337169940655,18641187.0,2578,15,1749971223,1749971283.0
21.98792420900785,18323481.0,2578,16,1749971583,1749971643.0
22.006644799159123,18130968.0,2578,17,1749971943,1749972003.0
21.985638104952297,18343990.0,2578,18,1749972303,1749972363.0
10.998070276700533,18420541.0,2593,0,1749998329,1749998389.0
10.991943799532377,18468324.0,2593,1,1749998689,1749998749.0
11.000696824147152,18400920.0,2593,2,1749999049,1749999109.0
11.000697190944965,18520139.0,2593,3,1749999409,1749999469.0
10.989813552712494,18442602.0,2593,4,1749999769,1749999829.0
10.995444279450636,17890814.0,2593,5,1750000129,1750000189.0
10.997542363292766,18203007.0,2593,6,1750000489,1750000549.0
10.994569485004131,18700788.0,2593,7,1750000848,1750000908.0
10.998071046975943,18130647.0,2593,8,1750001209,1750001269.0
10.991068399869478,18425347.0,2593,9,1750001568,1750001628.0
