current,counts,background,run,cycle_count,cycle_bkgd,cycle_last_20s,bkgd_last_20s
0.9997375821167568,27519,11736,2666,0,1,1909,1841
0.9995812659080212,26784,11700,2666,9,8,1814,1893
0.9999104322127577,27627,12036,2665,0,1,1844,1898
