current,counts,background
0.9988506121196966,34532,14909
0.9991144606436806,34475,15116
4.993859767913818,130531,32589
4.995970567067464,131650,32589
4.995179017384847,130730,36175
4.995442867279053,123326,36175
36.64248709245162,861950,191111
36.65206168163782,874343,191111
36.66965168920056,881491,191111
20.856553987524975,657899,293413
21.478123105805494,690784,293413
21.58527012304826,714387,293413
21.573343167359802,716088,293413
21.577528898743378,757200,293413
10.877431170884954,499209,282201
10.890792539750022,491593,282201
10.899163980593627,483159,282201
