# UCN Hits histogram
# Run 2578
# Cycle 1
# Period 1
# Background data
# Bin size: 1000 ms
# mean current: 22.001970219162274
tUnixTimePrecise,Count
1749966243.5001829,0.0
1749966244.5001829,1107.0
1749966245.5001829,1104.0
1749966246.5001829,1088.0
1749966247.5001829,1080.0
1749966248.5001829,1050.0
1749966249.5001829,1056.0
1749966250.5001829,1039.0
1749966251.5001829,1009.0
1749966252.5001829,1020.0
1749966253.5001829,1021.0
1749966254.5001829,1069.0
1749966255.5001829,1041.0
1749966256.5001829,1001.0
1749966257.5001829,975.0
1749966258.5001829,1014.0
1749966259.5001829,994.0
1749966260.5001829,1045.0
1749966261.5001829,1034.0
1749966262.5001829,1022.0
1749966263.5001829,999.0
1749966264.5001829,978.0
1749966265.5001829,945.0
1749966266.5001829,952.0
1749966267.5001829,901.0
1749966268.5001829,919.0
1749966269.5001829,932.0
1749966270.5001829,1002.0
1749966271.5001829,975.0
1749966272.5001829,906.0
1749966273.5001829,929.0
1749966274.5001829,887.0
1749966275.5001829,881.0
1749966276.5001829,829.0
1749966277.5001829,817.0
1749966278.5001829,833.0
1749966279.5001829,864.0
1749966280.5001829,838.0
1749966281.5001829,795.0
1749966282.5001829,851.0
1749966283.5001829,844.0
1749966284.5001829,847.0
1749966285.5001829,869.0
1749966286.5001829,834.0
1749966287.5001829,829.0
1749966288.5001829,906.0
1749966289.5001829,818.0
1749966290.5001829,853.0
1749966291.5001829,876.0
1749966292.5001829,799.0
1749966293.5001829,851.0
1749966294.5001829,825.0
1749966295.5001829,851.0
1749966296.5001829,779.0
1749966297.5001829,851.0
1749966298.5001829,816.0
1749966299.5001829,732.0
1749966300.5001829,755.0
1749966301.5001829,786.0
1749966302.5001829,750.0
1749966303.5001829,738.0
1749966304.5001829,755.0
1749966305.5001829,720.0
1749966306.5001829,796.0
1749966307.5001829,721.0
1749966308.5001829,758.0
1749966309.5001829,842.0
1749966310.5001829,759.0
1749966311.5001829,761.0
1749966312.5001829,768.0
1749966313.5001829,767.0
1749966314.5001829,776.0
1749966315.5001829,812.0
1749966316.5001829,783.0
1749966317.5001829,766.0
1749966318.5001829,716.0
1749966319.5001829,753.0
1749966320.5001829,741.0
1749966321.5001829,773.0
1749966322.5001829,727.0
1749966323.5001829,759.0
1749966324.5001829,774.0
1749966325.5001829,744.0
1749966326.5001829,680.0
1749966327.5001829,680.0
1749966328.5001829,757.0
1749966329.5001829,713.0
1749966330.5001829,728.0
1749966331.5001829,716.0
1749966332.5001829,686.0
1749966333.5001829,701.0
1749966334.5001829,681.0
1749966335.5001829,735.0
1749966336.5001829,731.0
1749966337.5001829,717.0
1749966338.5001829,723.0
1749966339.5001829,715.0
1749966340.5001829,698.0
1749966341.5001829,682.0
1749966342.5001829,694.0
1749966343.5001829,710.0
1749966344.5001829,693.0
1749966345.5001829,660.0
1749966346.5001829,660.0
1749966347.5001829,689.0
1749966348.5001829,639.0
1749966349.5001829,714.0
1749966350.5001829,681.0
1749966351.5001829,728.0
1749966352.5001829,679.0
1749966353.5001829,698.0
1749966354.5001829,681.0
1749966355.5001829,672.0
1749966356.5001829,665.0
1749966357.5001829,651.0
1749966358.5001829,688.0
1749966359.5001829,684.0
1749966360.5001829,669.0
1749966361.5001829,675.0
1749966362.5001829,653.0
