# UCN Hits histogram
# Run 2573
# Cycle 10
# Period 1
# Background data
# Bin size: 1000 ms
# mean current: 36.65706810584435
tUnixTimePrecise,Count
1749938942.964202,0.0
1749938943.964202,9332.0
1749938944.964202,9238.0
1749938945.964202,8817.0
1749938946.964202,8891.0
1749938947.964202,8918.0
1749938948.964202,8860.0
1749938949.964202,8909.0
1749938950.964202,8985.0
1749938951.964202,8696.0
1749938952.964202,8585.0
1749938953.964202,8671.0
1749938954.964202,8639.0
1749938955.964202,8586.0
1749938956.964202,8557.0
1749938957.964202,8368.0
1749938958.964202,8296.0
1749938959.964202,8303.0
1749938960.964202,8104.0
1749938961.964202,8280.0
1749938962.964202,8295.0
1749938963.964202,8152.0
1749938964.964202,8292.0
1749938965.964202,7993.0
1749938966.964202,8032.0
1749938967.964202,8122.0
1749938968.964202,8094.0
1749938969.964202,8047.0
1749938970.964202,7955.0
1749938971.964202,7886.0
1749938972.964202,7732.0
1749938973.964202,7966.0
1749938974.964202,7657.0
1749938975.964202,7723.0
1749938976.964202,7757.0
1749938977.964202,7532.0
1749938978.964202,7619.0
1749938979.964202,7513.0
1749938980.964202,7585.0
1749938981.964202,7560.0
1749938982.964202,7514.0
1749938983.964202,7549.0
1749938984.964202,7442.0
1749938985.964202,7285.0
1749938986.964202,7306.0
1749938987.964202,7407.0
1749938988.964202,7148.0
1749938989.964202,7247.0
1749938990.964202,7210.0
1749938991.964202,7197.0
1749938992.964202,7002.0
1749938993.964202,7267.0
1749938994.964202,7267.0
1749938995.964202,7072.0
1749938996.964202,7042.0
1749938997.964202,7082.0
1749938998.964202,7081.0
1749938999.964202,6887.0
1749939000.964202,6891.0
1749939001.964202,6917.0
1749939002.964202,6868.0
1749939003.964202,6776.0
1749939004.964202,6828.0
1749939005.964202,6832.0
1749939006.964202,6727.0
1749939007.964202,6625.0
1749939008.964202,6687.0
1749939009.964202,6780.0
1749939010.964202,6673.0
1749939011.964202,6642.0
1749939012.964202,6660.0
1749939013.964202,6489.0
1749939014.964202,6541.0
1749939015.964202,6552.0
1749939016.964202,6614.0
1749939017.964202,6420.0
1749939018.964202,6493.0
1749939019.964202,6287.0
1749939020.964202,6308.0
1749939021.964202,6507.0
1749939022.964202,6369.0
1749939023.964202,6284.0
1749939024.964202,6408.0
1749939025.964202,6294.0
1749939026.964202,6137.0
1749939027.964202,6241.0
1749939028.964202,6174.0
1749939029.964202,6226.0
1749939030.964202,6051.0
1749939031.964202,5984.0
1749939032.964202,6165.0
1749939033.964202,6068.0
1749939034.964202,5957.0
1749939035.964202,6010.0
1749939036.964202,5921.0
1749939037.964202,6071.0
1749939038.964202,5845.0
1749939039.964202,5956.0
1749939040.964202,5889.0
1749939041.964202,5856.0
1749939042.964202,5925.0
1749939043.964202,5872.0
1749939044.964202,5751.0
1749939045.964202,5666.0
1749939046.964202,5819.0
1749939047.964202,5728.0
1749939048.964202,5801.0
1749939049.964202,5756.0
1749939050.964202,5658.0
1749939051.964202,5826.0
1749939052.964202,5630.0
1749939053.964202,5689.0
1749939054.964202,5592.0
1749939055.964202,5599.0
1749939056.964202,5745.0
1749939057.964202,5568.0
1749939058.964202,5595.0
1749939059.964202,5618.0
1749939060.964202,5675.0
1749939061.964202,5574.0
