# UCN Hits histogram
# Run 2593
# Cycle 1
# Period 1
# Background data
# Bin size: 1000 ms
# mean current: 10.991943799532377
tUnixTimePrecise,Count
1749998748.5012355,0.0
1749998749.5012355,1877.0
1749998750.5012355,1819.0
1749998751.5012355,1863.0
1749998752.5012355,1827.0
1749998753.5012355,1790.0
1749998754.5012355,1726.0
1749998755.5012355,1836.0
1749998756.5012355,1820.0
1749998757.5012355,1731.0
1749998758.5012355,1775.0
1749998759.5012355,1699.0
1749998760.5012355,1626.0
1749998761.5012355,1663.0
1749998762.5012355,1704.0
1749998763.5012355,1676.0
1749998764.5012355,1627.0
1749998765.5012355,1594.0
1749998766.5012355,1593.0
1749998767.5012355,1723.0
1749998768.5012355,1635.0
1749998769.5012355,1702.0
1749998770.5012355,1569.0
1749998771.5012355,1658.0
1749998772.5012355,1595.0
1749998773.5012355,1643.0
1749998774.5012355,1736.0
1749998775.5012355,1655.0
1749998776.5012355,1622.0
1749998777.5012355,1548.0
1749998778.5012355,1604.0
1749998779.5012355,1704.0
1749998780.5012355,1579.0
1749998781.5012355,1537.0
1749998782.5012355,1646.0
1749998783.5012355,1561.0
1749998784.5012355,1563.0
1749998785.5012355,1573.0
1749998786.5012355,1578.0
1749998787.5012355,1581.0
1749998788.5012355,1547.0
1749998789.5012355,1567.0
1749998790.5012355,1590.0
1749998791.5012355,1561.0
1749998792.5012355,1582.0
1749998793.5012355,1548.0
1749998794.5012355,1597.0
1749998795.5012355,1539.0
1749998796.5012355,1595.0
1749998797.5012355,1564.0
1749998798.5012355,1566.0
1749998799.5012355,1524.0
1749998800.5012355,1583.0
1749998801.5012355,1558.0
1749998802.5012355,1585.0
1749998803.5012355,1611.0
1749998804.5012355,1526.0
1749998805.5012355,1549.0
1749998806.5012355,1539.0
1749998807.5012355,1515.0
1749998808.5012355,1486.0
1749998809.5012355,1506.0
1749998810.5012355,1428.0
1749998811.5012355,1424.0
1749998812.5012355,1445.0
1749998813.5012355,1502.0
1749998814.5012355,1442.0
1749998815.5012355,1398.0
1749998816.5012355,1420.0
1749998817.5012355,1384.0
1749998818.5012355,1410.0
1749998819.5012355,1485.0
1749998820.5012355,1428.0
1749998821.5012355,1442.0
1749998822.5012355,1342.0
1749998823.5012355,1358.0
1749998824.5012355,1413.0
1749998825.5012355,1416.0
1749998826.5012355,1408.0
1749998827.5012355,1360.0
1749998828.5012355,1285.0
1749998829.5012355,1346.0
1749998830.5012355,1231.0
1749998831.5012355,1323.0
1749998832.5012355,1300.0
1749998833.5012355,1287.0
1749998834.5012355,1327.0
1749998835.5012355,1310.0
1749998836.5012355,1302.0
1749998837.5012355,1401.0
1749998838.5012355,1369.0
1749998839.5012355,1353.0
1749998840.5012355,1301.0
1749998841.5012355,1261.0
1749998842.5012355,1308.0
1749998843.5012355,1287.0
1749998844.5012355,1353.0
1749998845.5012355,1287.0
1749998846.5012355,1294.0
1749998847.5012355,1321.0
1749998848.5012355,1329.0
1749998849.5012355,1277.0
1749998850.5012355,1291.0
1749998851.5012355,1231.0
1749998852.5012355,1167.0
1749998853.5012355,1289.0
1749998854.5012355,1196.0
1749998855.5012355,1242.0
1749998856.5012355,1217.0
1749998857.5012355,1234.0
1749998858.5012355,1229.0
1749998859.5012355,1253.0
1749998860.5012355,1173.0
1749998861.5012355,1187.0
1749998862.5012355,1181.0
1749998863.5012355,1217.0
1749998864.5012355,1206.0
1749998865.5012355,1198.0
1749998866.5012355,1244.0
1749998867.5012355,1237.0
