# UCN Hits histogram
# Run 2530
# Cycle 1
# Period 1
# Background data
# Bin size: 1000 ms
# mean current: 0.9992708181435207
tUnixTimePrecise,Count
1749838732.5060568,0.0
1749838733.5060568,106.0
1749838734.5060568,59.0
1749838735.5060568,76.0
1749838736.5060568,86.0
1749838737.5060568,86.0
1749838738.5060568,76.0
1749838739.5060568,73.0
1749838740.5060568,89.0
1749838741.5060568,86.0
1749838742.5060568,76.0
1749838743.5060568,88.0
1749838744.5060568,77.0
1749838745.5060568,80.0
1749838746.5060568,75.0
1749838747.5060568,81.0
1749838748.5060568,80.0
1749838749.5060568,78.0
1749838750.5060568,77.0
1749838751.5060568,77.0
1749838752.5060568,86.0
1749838753.5060568,83.0
1749838754.5060568,83.0
1749838755.5060568,77.0
1749838756.5060568,88.0
1749838757.5060568,104.0
1749838758.5060568,90.0
1749838759.5060568,91.0
1749838760.5060568,72.0
1749838761.5060568,77.0
1749838762.5060568,81.0
1749838763.5060568,88.0
1749838764.5060568,77.0
1749838765.5060568,82.0
1749838766.5060568,95.0
1749838767.5060568,83.0
1749838768.5060568,82.0
1749838769.5060568,74.0
1749838770.5060568,80.0
1749838771.5060568,82.0
1749838772.5060568,83.0
1749838773.5060568,84.0
1749838774.5060568,77.0
1749838775.5060568,60.0
1749838776.5060568,84.0
1749838777.5060568,88.0
1749838778.5060568,63.0
1749838779.5060568,66.0
1749838780.5060568,63.0
1749838781.5060568,79.0
1749838782.5060568,77.0
1749838783.5060568,87.0
1749838784.5060568,77.0
1749838785.5060568,78.0
1749838786.5060568,81.0
1749838787.5060568,89.0
1749838788.5060568,84.0
1749838789.5060568,81.0
1749838790.5060568,76.0
1749838791.5060568,71.0
1749838792.5060568,72.0
1749838793.5060568,74.0
1749838794.5060568,89.0
1749838795.5060568,87.0
1749838796.5060568,80.0
1749838797.5060568,84.0
1749838798.5060568,91.0
1749838799.5060568,87.0
1749838800.5060568,89.0
1749838801.5060568,77.0
1749838802.5060568,91.0
1749838803.5060568,68.0
1749838804.5060568,83.0
1749838805.5060568,59.0
1749838806.5060568,60.0
1749838807.5060568,62.0
1749838808.5060568,69.0
1749838809.5060568,86.0
1749838810.5060568,83.0
1749838811.5060568,73.0
1749838812.5060568,78.0
1749838813.5060568,68.0
1749838814.5060568,67.0
1749838815.5060568,74.0
1749838816.5060568,63.0
1749838817.5060568,76.0
1749838818.5060568,44.0
1749838819.5060568,79.0
1749838820.5060568,68.0
1749838821.5060568,59.0
1749838822.5060568,60.0
1749838823.5060568,66.0
1749838824.5060568,77.0
1749838825.5060568,57.0
1749838826.5060568,76.0
1749838827.5060568,74.0
1749838828.5060568,72.0
1749838829.5060568,71.0
1749838830.5060568,86.0
1749838831.5060568,70.0
1749838832.5060568,79.0
1749838833.5060568,91.0
1749838834.5060568,73.0
1749838835.5060568,80.0
1749838836.5060568,78.0
1749838837.5060568,66.0
1749838838.5060568,63.0
1749838839.5060568,75.0
1749838840.5060568,60.0
1749838841.5060568,81.0
1749838842.5060568,81.0
1749838843.5060568,70.0
1749838844.5060568,63.0
1749838845.5060568,78.0
1749838846.5060568,77.0
1749838847.5060568,73.0
1749838848.5060568,70.0
1749838849.5060568,74.0
1749838850.5060568,63.0
1749838851.5060568,60.0
