# UCN Hits histogram
# Run 2573
# Cycle 28
# Period 1
# Background data
# Bin size: 1000 ms
# mean current: 36.64529646359957
tUnixTimePrecise,Count
1749945422.5000193,0.0
1749945423.5000193,8831.0
1749945424.5000193,8753.0
1749945425.5000193,8714.0
1749945426.5000193,8615.0
1749945427.5000193,8499.0
1749945428.5000193,8477.0
1749945429.5000193,8241.0
1749945430.5000193,8411.0
1749945431.5000193,8050.0
1749945432.5000193,8139.0
1749945433.5000193,8199.0
1749945434.5000193,8019.0
1749945435.5000193,8007.0
1749945436.5000193,7939.0
1749945437.5000193,7895.0
1749945438.5000193,7997.0
1749945439.5000193,7883.0
1749945440.5000193,7859.0
1749945441.5000193,7946.0
1749945442.5000193,7808.0
1749945443.5000193,7734.0
1749945444.5000193,7759.0
1749945445.5000193,7524.0
1749945446.5000193,7684.0
1749945447.5000193,7563.0
1749945448.5000193,7655.0
1749945449.5000193,7600.0
1749945450.5000193,7520.0
1749945451.5000193,7434.0
1749945452.5000193,7330.0
1749945453.5000193,7322.0
1749945454.5000193,7333.0
1749945455.5000193,7266.0
1749945456.5000193,7267.0
1749945457.5000193,7121.0
1749945458.5000193,7003.0
1749945459.5000193,7080.0
1749945460.5000193,7104.0
1749945461.5000193,7053.0
1749945462.5000193,7047.0
1749945463.5000193,7102.0
1749945464.5000193,6949.0
1749945465.5000193,6885.0
1749945466.5000193,6973.0
1749945467.5000193,6910.0
1749945468.5000193,6921.0
1749945469.5000193,6798.0
1749945470.5000193,6851.0
1749945471.5000193,6809.0
1749945472.5000193,6773.0
1749945473.5000193,6567.0
1749945474.5000193,6687.0
1749945475.5000193,6770.0
1749945476.5000193,6763.0
1749945477.5000193,6605.0
1749945478.5000193,6717.0
1749945479.5000193,6755.0
1749945480.5000193,6618.0
1749945481.5000193,6433.0
1749945482.5000193,6535.0
1749945483.5000193,6532.0
1749945484.5000193,6618.0
1749945485.5000193,6472.0
1749945486.5000193,6502.0
1749945487.5000193,6620.0
1749945488.5000193,6377.0
1749945489.5000193,6294.0
1749945490.5000193,6178.0
1749945491.5000193,6306.0
1749945492.5000193,6236.0
1749945493.5000193,6343.0
1749945494.5000193,6263.0
1749945495.5000193,6239.0
1749945496.5000193,6226.0
1749945497.5000193,6059.0
1749945498.5000193,6106.0
1749945499.5000193,6168.0
1749945500.5000193,6041.0
1749945501.5000193,6073.0
1749945502.5000193,5913.0
1749945503.5000193,5983.0
1749945504.5000193,5904.0
1749945505.5000193,5906.0
1749945506.5000193,5935.0
1749945507.5000193,5915.0
1749945508.5000193,5815.0
1749945509.5000193,5780.0
1749945510.5000193,5812.0
1749945511.5000193,5721.0
1749945512.5000193,5830.0
1749945513.5000193,5858.0
1749945514.5000193,5803.0
1749945515.5000193,5686.0
1749945516.5000193,5714.0
1749945517.5000193,5730.0
1749945518.5000193,5637.0
1749945519.5000193,5686.0
1749945520.5000193,5520.0
1749945521.5000193,5535.0
1749945522.5000193,5543.0
1749945523.5000193,5548.0
1749945524.5000193,5512.0
1749945525.5000193,5514.0
1749945526.5000193,5455.0
1749945527.5000193,5496.0
1749945528.5000193,5526.0
1749945529.5000193,5508.0
1749945530.5000193,5335.0
1749945531.5000193,5343.0
1749945532.5000193,5306.0
1749945533.5000193,5390.0
1749945534.5000193,5249.0
1749945535.5000193,5338.0
1749945536.5000193,5253.0
1749945537.5000193,5254.0
1749945538.5000193,5406.0
1749945539.5000193,5293.0
1749945540.5000193,5150.0
1749945541.5000193,5149.0
