# UCN Hits histogram
# Run 2573
# Cycle 1
# Period 1
# Background data
# Bin size: 1000 ms
# mean current: 36.65412514026348
tUnixTimePrecise,Count
1749935703.5000465,0.0
1749935704.5000465,9436.0
1749935705.5000465,9222.0
1749935706.5000465,9188.0
1749935707.5000465,9035.0
1749935708.5000465,8966.0
1749935709.5000465,9026.0
1749935710.5000465,8928.0
1749935711.5000465,8797.0
1749935712.5000465,8701.0
1749935713.5000465,8796.0
1749935714.5000465,8615.0
1749935715.5000465,8551.0
1749935716.5000465,8438.0
1749935717.5000465,8314.0
1749935718.5000465,8276.0
1749935719.5000465,8462.0
1749935720.5000465,8281.0
1749935721.5000465,8190.0
1749935722.5000465,8332.0
1749935723.5000465,8162.0
1749935724.5000465,8197.0
1749935725.5000465,8057.0
1749935726.5000465,8039.0
1749935727.5000465,8087.0
1749935728.5000465,8109.0
1749935729.5000465,8027.0
1749935730.5000465,7962.0
1749935731.5000465,7932.0
1749935732.5000465,7919.0
1749935733.5000465,7796.0
1749935734.5000465,7788.0
1749935735.5000465,7860.0
1749935736.5000465,7764.0
1749935737.5000465,7795.0
1749935738.5000465,7634.0
1749935739.5000465,7616.0
1749935740.5000465,7639.0
1749935741.5000465,7795.0
1749935742.5000465,7543.0
1749935743.5000465,7710.0
1749935744.5000465,7651.0
1749935745.5000465,7610.0
1749935746.5000465,7302.0
1749935747.5000465,7404.0
1749935748.5000465,7389.0
1749935749.5000465,7423.0
1749935750.5000465,7297.0
1749935751.5000465,7194.0
1749935752.5000465,7144.0
1749935753.5000465,7102.0
1749935754.5000465,7132.0
1749935755.5000465,7113.0
1749935756.5000465,7188.0
1749935757.5000465,7011.0
1749935758.5000465,7055.0
1749935759.5000465,6903.0
1749935760.5000465,6958.0
1749935761.5000465,6960.0
1749935762.5000465,6801.0
1749935763.5000465,6800.0
1749935764.5000465,6935.0
1749935765.5000465,6788.0
1749935766.5000465,6826.0
1749935767.5000465,6726.0
1749935768.5000465,6653.0
1749935769.5000465,6763.0
1749935770.5000465,6707.0
1749935771.5000465,6734.0
1749935772.5000465,6800.0
1749935773.5000465,6709.0
1749935774.5000465,6489.0
1749935775.5000465,6481.0
1749935776.5000465,6556.0
1749935777.5000465,6753.0
1749935778.5000465,6513.0
1749935779.5000465,6567.0
1749935780.5000465,6448.0
1749935781.5000465,6481.0
1749935782.5000465,6394.0
1749935783.5000465,6527.0
1749935784.5000465,6442.0
1749935785.5000465,6422.0
1749935786.5000465,6361.0
1749935787.5000465,6291.0
1749935788.5000465,6189.0
1749935789.5000465,6309.0
1749935790.5000465,6407.0
1749935791.5000465,6262.0
1749935792.5000465,6302.0
1749935793.5000465,6163.0
1749935794.5000465,6140.0
1749935795.5000465,6186.0
1749935796.5000465,6122.0
1749935797.5000465,6123.0
1749935798.5000465,6121.0
1749935799.5000465,6173.0
1749935800.5000465,6054.0
1749935801.5000465,5991.0
1749935802.5000465,5960.0
1749935803.5000465,6042.0
1749935804.5000465,5994.0
1749935805.5000465,5789.0
1749935806.5000465,5907.0
1749935807.5000465,5779.0
1749935808.5000465,5800.0
1749935809.5000465,5786.0
1749935810.5000465,5865.0
1749935811.5000465,5697.0
1749935812.5000465,5828.0
1749935813.5000465,5737.0
1749935814.5000465,5743.0
1749935815.5000465,5832.0
1749935816.5000465,5680.0
1749935817.5000465,5676.0
1749935818.5000465,5717.0
1749935819.5000465,5711.0
1749935820.5000465,5584.0
1749935821.5000465,5548.0
1749935822.5000465,5512.0
