# UCN Hits histogram
# Run 2558
# Cycle 17
# Period 3
# Background data
# Bin size: 1000 ms
# mean current: 4.994621447797091
tUnixTimePrecise,Count
1749894158.5015452,0.0
1749894159.5015452,247.0
1749894160.5015452,247.0
1749894161.5015452,221.0
1749894162.5015452,237.0
1749894163.5015452,201.0
1749894164.5015452,214.0
1749894165.5015452,222.0
1749894166.5015452,234.0
1749894167.5015452,240.0
1749894168.5015452,217.0
1749894169.5015452,209.0
1749894170.5015452,206.0
1749894171.5015452,199.0
1749894172.5015452,198.0
1749894173.5015452,189.0
1749894174.5015452,239.0
1749894175.5015452,185.0
1749894176.5015452,216.0
1749894177.5015452,204.0
1749894178.5015452,193.0
1749894179.5015452,231.0
1749894180.5015452,209.0
1749894181.5015452,201.0
1749894182.5015452,204.0
1749894183.5015452,229.0
1749894184.5015452,204.0
1749894185.5015452,243.0
1749894186.5015452,227.0
1749894187.5015452,160.0
1749894188.5015452,211.0
1749894189.5015452,208.0
1749894190.5015452,205.0
1749894191.5015452,193.0
1749894192.5015452,193.0
1749894193.5015452,192.0
1749894194.5015452,201.0
1749894195.5015452,207.0
1749894196.5015452,214.0
1749894197.5015452,208.0
1749894198.5015452,218.0
1749894199.5015452,222.0
1749894200.5015452,193.0
1749894201.5015452,190.0
1749894202.5015452,193.0
1749894203.5015452,207.0
1749894204.5015452,175.0
1749894205.5015452,203.0
1749894206.5015452,187.0
1749894207.5015452,169.0
1749894208.5015452,198.0
1749894209.5015452,191.0
1749894210.5015452,173.0
1749894211.5015452,186.0
1749894212.5015452,184.0
1749894213.5015452,197.0
1749894214.5015452,205.0
1749894215.5015452,186.0
1749894216.5015452,174.0
1749894217.5015452,204.0
1749894218.5015452,198.0
1749894219.5015452,196.0
1749894220.5015452,200.0
1749894221.5015452,174.0
1749894222.5015452,173.0
1749894223.5015452,197.0
1749894224.5015452,194.0
1749894225.5015452,180.0
1749894226.5015452,179.0
1749894227.5015452,198.0
1749894228.5015452,183.0
1749894229.5015452,184.0
1749894230.5015452,187.0
1749894231.5015452,203.0
1749894232.5015452,187.0
1749894233.5015452,178.0
1749894234.5015452,176.0
1749894235.5015452,194.0
1749894236.5015452,177.0
1749894237.5015452,181.0
1749894238.5015452,184.0
1749894239.5015452,183.0
1749894240.5015452,197.0
1749894241.5015452,158.0
1749894242.5015452,189.0
1749894243.5015452,189.0
1749894244.5015452,174.0
1749894245.5015452,152.0
1749894246.5015452,180.0
1749894247.5015452,180.0
1749894248.5015452,174.0
1749894249.5015452,187.0
1749894250.5015452,150.0
1749894251.5015452,158.0
1749894252.5015452,182.0
1749894253.5015452,187.0
1749894254.5015452,158.0
1749894255.5015452,172.0
1749894256.5015452,182.0
1749894257.5015452,181.0
1749894258.5015452,176.0
1749894259.5015452,180.0
1749894260.5015452,170.0
1749894261.5015452,161.0
1749894262.5015452,161.0
1749894263.5015452,145.0
1749894264.5015452,174.0
1749894265.5015452,160.0
1749894266.5015452,151.0
1749894267.5015452,163.0
1749894268.5015452,158.0
1749894269.5015452,133.0
1749894270.5015452,164.0
1749894271.5015452,167.0
1749894272.5015452,145.0
1749894273.5015452,169.0
1749894274.5015452,149.0
1749894275.5015452,157.0
1749894276.5015452,156.0
1749894277.5015452,164.0
