# UCN Hits histogram
# Run 2530
# Cycle 9
# Period 1
# Background data
# Bin size: 1000 ms
# mean current: 0.9988876856290377
tUnixTimePrecise,Count
1749841531.5017107,0.0
1749841532.5017107,99.0
1749841533.5017107,84.0
1749841534.5017107,85.0
1749841535.5017107,102.0
1749841536.5017107,86.0
1749841537.5017107,83.0
1749841538.5017107,78.0
1749841539.5017107,91.0
1749841540.5017107,75.0
1749841541.5017107,96.0
1749841542.5017107,84.0
1749841543.5017107,100.0
1749841544.5017107,93.0
1749841545.5017107,85.0
1749841546.5017107,87.0
1749841547.5017107,92.0
1749841548.5017107,83.0
1749841549.5017107,83.0
1749841550.5017107,79.0
1749841551.5017107,88.0
1749841552.5017107,77.0
1749841553.5017107,95.0
1749841554.5017107,76.0
1749841555.5017107,82.0
1749841556.5017107,82.0
1749841557.5017107,69.0
1749841558.5017107,76.0
1749841559.5017107,73.0
1749841560.5017107,95.0
1749841561.5017107,83.0
1749841562.5017107,99.0
1749841563.5017107,86.0
1749841564.5017107,90.0
1749841565.5017107,68.0
1749841566.5017107,82.0
1749841567.5017107,81.0
1749841568.5017107,69.0
1749841569.5017107,84.0
1749841570.5017107,85.0
1749841571.5017107,79.0
1749841572.5017107,74.0
1749841573.5017107,87.0
1749841574.5017107,89.0
1749841575.5017107,80.0
1749841576.5017107,91.0
1749841577.5017107,84.0
1749841578.5017107,78.0
1749841579.5017107,86.0
1749841580.5017107,91.0
1749841581.5017107,63.0
1749841582.5017107,79.0
1749841583.5017107,84.0
1749841584.5017107,97.0
1749841585.5017107,87.0
1749841586.5017107,83.0
1749841587.5017107,73.0
1749841588.5017107,80.0
1749841589.5017107,82.0
1749841590.5017107,91.0
1749841591.5017107,77.0
1749841592.5017107,75.0
1749841593.5017107,88.0
1749841594.5017107,79.0
1749841595.5017107,86.0
1749841596.5017107,103.0
1749841597.5017107,82.0
1749841598.5017107,84.0
1749841599.5017107,89.0
1749841600.5017107,74.0
1749841601.5017107,56.0
1749841602.5017107,80.0
1749841603.5017107,74.0
1749841604.5017107,62.0
1749841605.5017107,98.0
1749841606.5017107,86.0
1749841607.5017107,68.0
1749841608.5017107,64.0
1749841609.5017107,72.0
1749841610.5017107,77.0
1749841611.5017107,83.0
1749841612.5017107,61.0
1749841613.5017107,76.0
1749841614.5017107,67.0
1749841615.5017107,70.0
1749841616.5017107,87.0
1749841617.5017107,79.0
1749841618.5017107,89.0
1749841619.5017107,79.0
1749841620.5017107,79.0
1749841621.5017107,79.0
1749841622.5017107,70.0
1749841623.5017107,85.0
1749841624.5017107,82.0
1749841625.5017107,101.0
1749841626.5017107,78.0
1749841627.5017107,98.0
1749841628.5017107,74.0
1749841629.5017107,76.0
1749841630.5017107,72.0
1749841631.5017107,69.0
1749841632.5017107,86.0
1749841633.5017107,71.0
1749841634.5017107,76.0
1749841635.5017107,65.0
1749841636.5017107,70.0
1749841637.5017107,78.0
1749841638.5017107,77.0
1749841639.5017107,61.0
1749841640.5017107,73.0
1749841641.5017107,77.0
1749841642.5017107,81.0
1749841643.5017107,63.0
1749841644.5017107,60.0
1749841645.5017107,73.0
1749841646.5017107,82.0
1749841647.5017107,68.0
1749841648.5017107,63.0
1749841649.5017107,59.0
1749841650.5017107,69.0
