# UCN Hits histogram
# Run 2573
# Cycle 17
# Period 3
# Background data
# Bin size: 1000 ms
# mean current: 36.55995141542875
tUnixTimePrecise,Count
1749941463.5000432,0.0
1749941464.5000432,8865.0
1749941465.5000432,8713.0
1749941466.5000432,8780.0
1749941467.5000432,8692.0
1749941468.5000432,8559.0
1749941469.5000432,8528.0
1749941470.5000432,8403.0
1749941471.5000432,8174.0
1749941472.5000432,8237.0
1749941473.5000432,8324.0
1749941474.5000432,8445.0
1749941475.5000432,8153.0
1749941476.5000432,8115.0
1749941477.5000432,7982.0
1749941478.5000432,7741.0
1749941479.5000432,7947.0
1749941480.5000432,7993.0
1749941481.5000432,7863.0
1749941482.5000432,7804.0
1749941483.5000432,7867.0
1749941484.5000432,7839.0
1749941485.5000432,7768.0
1749941486.5000432,7758.0
1749941487.5000432,7751.0
1749941488.5000432,7814.0
1749941489.5000432,7567.0
1749941490.5000432,7342.0
1749941491.5000432,7447.0
1749941492.5000432,7536.0
1749941493.5000432,7484.0
1749941494.5000432,7540.0
1749941495.5000432,7266.0
1749941496.5000432,7285.0
1749941497.5000432,7355.0
1749941498.5000432,7319.0
1749941499.5000432,7224.0
1749941500.5000432,7313.0
1749941501.5000432,7143.0
1749941502.5000432,7249.0
1749941503.5000432,7125.0
1749941504.5000432,7174.0
1749941505.5000432,6997.0
1749941506.5000432,7040.0
1749941507.5000432,7054.0
1749941508.5000432,6972.0
1749941509.5000432,7074.0
1749941510.5000432,6806.0
1749941511.5000432,6906.0
1749941512.5000432,6734.0
1749941513.5000432,6863.0
1749941514.5000432,6820.0
1749941515.5000432,6640.0
1749941516.5000432,6636.0
1749941517.5000432,6751.0
1749941518.5000432,6550.0
1749941519.5000432,6549.0
1749941520.5000432,6595.0
1749941521.5000432,6483.0
1749941522.5000432,6422.0
1749941523.5000432,6591.0
1749941524.5000432,6467.0
1749941525.5000432,6389.0
1749941526.5000432,6550.0
1749941527.5000432,6524.0
1749941528.5000432,6490.0
1749941529.5000432,6396.0
1749941530.5000432,6477.0
1749941531.5000432,6205.0
1749941532.5000432,6351.0
1749941533.5000432,6340.0
1749941534.5000432,6192.0
1749941535.5000432,6357.0
1749941536.5000432,6177.0
1749941537.5000432,6418.0
1749941538.5000432,6292.0
1749941539.5000432,6172.0
1749941540.5000432,6061.0
1749941541.5000432,5990.0
1749941542.5000432,6009.0
1749941543.5000432,5918.0
1749941544.5000432,6118.0
1749941545.5000432,5911.0
1749941546.5000432,5865.0
1749941547.5000432,6006.0
1749941548.5000432,5975.0
1749941549.5000432,5842.0
1749941550.5000432,5766.0
1749941551.5000432,5648.0
1749941552.5000432,5899.0
1749941553.5000432,5669.0
1749941554.5000432,5662.0
1749941555.5000432,5781.0
1749941556.5000432,5622.0
1749941557.5000432,5713.0
1749941558.5000432,5696.0
1749941559.5000432,5577.0
1749941560.5000432,5704.0
1749941561.5000432,5628.0
1749941562.5000432,5654.0
1749941563.5000432,5639.0
1749941564.5000432,5517.0
1749941565.5000432,5477.0
1749941566.5000432,5512.0
1749941567.5000432,5500.0
1749941568.5000432,5297.0
1749941569.5000432,5464.0
1749941570.5000432,5473.0
1749941571.5000432,5413.0
1749941572.5000432,5527.0
1749941573.5000432,5368.0
1749941574.5000432,5498.0
1749941575.5000432,5347.0
1749941576.5000432,5300.0
1749941577.5000432,5304.0
1749941578.5000432,5290.0
1749941579.5000432,5207.0
1749941580.5000432,5269.0
1749941581.5000432,5147.0
1749941582.5000432,5223.0
