# UCN Hits histogram
# Run 2593
# Cycle 8
# Period 3
# Background data
# Bin size: 1000 ms
# mean current: 10.998071046975943
tUnixTimePrecise,Count
1750001269.5024989,0.0
1750001270.5024989,1327.0
1750001271.5024989,1310.0
1750001272.5024989,1272.0
1750001273.5024989,1254.0
1750001274.5024989,1259.0
1750001275.5024989,1313.0
1750001276.5024989,1292.0
1750001277.5024989,1251.0
1750001278.5024989,1285.0
1750001279.5024989,1312.0
1750001280.5024989,1333.0
1750001281.5024989,1357.0
1750001282.5024989,1346.0
1750001283.5024989,1317.0
1750001284.5024989,1307.0
1750001285.5024989,1288.0
1750001286.5024989,1223.0
1750001287.5024989,1296.0
1750001288.5024989,1204.0
1750001289.5024989,1205.0
1750001290.5024989,1150.0
1750001291.5024989,1190.0
1750001292.5024989,1157.0
1750001293.5024989,1174.0
1750001294.5024989,1163.0
1750001295.5024989,1177.0
1750001296.5024989,1180.0
1750001297.5024989,1184.0
1750001298.5024989,1201.0
1750001299.5024989,1237.0
1750001300.5024989,1131.0
1750001301.5024989,1137.0
1750001302.5024989,1154.0
1750001303.5024989,1123.0
1750001304.5024989,1181.0
1750001305.5024989,1156.0
1750001306.5024989,1127.0
1750001307.5024989,1161.0
1750001308.5024989,1050.0
1750001309.5024989,1178.0
1750001310.5024989,1091.0
1750001311.5024989,1126.0
1750001312.5024989,1075.0
1750001313.5024989,1106.0
1750001314.5024989,993.0
1750001315.5024989,1053.0
1750001316.5024989,1045.0
1750001317.5024989,1023.0
1750001318.5024989,1043.0
1750001319.5024989,1052.0
1750001320.5024989,1034.0
1750001321.5024989,1028.0
1750001322.5024989,1061.0
1750001323.5024989,1017.0
1750001324.5024989,1053.0
1750001325.5024989,1077.0
1750001326.5024989,965.0
1750001327.5024989,982.0
1750001328.5024989,996.0
1750001329.5024989,998.0
1750001330.5024989,1011.0
1750001331.5024989,993.0
1750001332.5024989,1052.0
1750001333.5024989,975.0
1750001334.5024989,978.0
1750001335.5024989,947.0
1750001336.5024989,988.0
1750001337.5024989,945.0
1750001338.5024989,962.0
1750001339.5024989,907.0
1750001340.5024989,896.0
1750001341.5024989,874.0
1750001342.5024989,910.0
1750001343.5024989,905.0
1750001344.5024989,930.0
1750001345.5024989,893.0
1750001346.5024989,904.0
1750001347.5024989,950.0
1750001348.5024989,949.0
1750001349.5024989,888.0
1750001350.5024989,887.0
1750001351.5024989,815.0
1750001352.5024989,835.0
1750001353.5024989,840.0
1750001354.5024989,881.0
1750001355.5024989,890.0
1750001356.5024989,861.0
1750001357.5024989,889.0
1750001358.5024989,849.0
1750001359.5024989,816.0
1750001360.5024989,851.0
1750001361.5024989,857.0
1750001362.5024989,770.0
1750001363.5024989,814.0
1750001364.5024989,864.0
1750001365.5024989,831.0
1750001366.5024989,813.0
1750001367.5024989,823.0
1750001368.5024989,864.0
1750001369.5024989,885.0
1750001370.5024989,870.0
1750001371.5024989,897.0
1750001372.5024989,865.0
1750001373.5024989,803.0
1750001374.5024989,816.0
1750001375.5024989,800.0
1750001376.5024989,781.0
1750001377.5024989,840.0
1750001378.5024989,877.0
1750001379.5024989,822.0
1750001380.5024989,790.0
1750001381.5024989,874.0
1750001382.5024989,826.0
1750001383.5024989,865.0
1750001384.5024989,816.0
1750001385.5024989,838.0
1750001386.5024989,822.0
1750001387.5024989,745.0
1750001388.5024989,824.0
