# UCN Hits histogram
# Run 2578
# Cycle 8
# Period 3
# Background data
# Bin size: 1000 ms
# mean current: 22.010132716252254
tUnixTimePrecise,Count
1749968763.51864,0.0
1749968764.51864,1308.0
1749968765.51864,1232.0
1749968766.51864,1293.0
1749968767.51864,1185.0
1749968768.51864,1171.0
1749968769.51864,1233.0
1749968770.51864,1131.0
1749968771.51864,1201.0
1749968772.51864,1217.0
1749968773.51864,1178.0
1749968774.51864,1167.0
1749968775.51864,1213.0
1749968776.51864,1289.0
1749968777.51864,1330.0
1749968778.51864,1291.0
1749968779.51864,1232.0
1749968780.51864,1243.0
1749968781.51864,1240.0
1749968782.51864,1136.0
1749968783.51864,1140.0
1749968784.51864,1162.0
1749968785.51864,1120.0
1749968786.51864,1136.0
1749968787.51864,1039.0
1749968788.51864,1050.0
1749968789.51864,1116.0
1749968790.51864,1134.0
1749968791.51864,1130.0
1749968792.51864,1062.0
1749968793.51864,1082.0
1749968794.51864,1111.0
1749968795.51864,1080.0
1749968796.51864,1147.0
1749968797.51864,1156.0
1749968798.51864,1151.0
1749968799.51864,1128.0
1749968800.51864,1102.0
1749968801.51864,1134.0
1749968802.51864,1076.0
1749968803.51864,1027.0
1749968804.51864,1084.0
1749968805.51864,1101.0
1749968806.51864,1091.0
1749968807.51864,1105.0
1749968808.51864,1165.0
1749968809.51864,1065.0
1749968810.51864,1063.0
1749968811.51864,1059.0
1749968812.51864,978.0
1749968813.51864,994.0
1749968814.51864,1008.0
1749968815.51864,1046.0
1749968816.51864,1074.0
1749968817.51864,986.0
1749968818.51864,1076.0
1749968819.51864,987.0
1749968820.51864,981.0
1749968821.51864,989.0
1749968822.51864,961.0
1749968823.51864,973.0
1749968824.51864,949.0
1749968825.51864,936.0
1749968826.51864,1014.0
1749968827.51864,961.0
1749968828.51864,946.0
1749968829.51864,939.0
1749968830.51864,1004.0
1749968831.51864,1055.0
1749968832.51864,922.0
1749968833.51864,998.0
1749968834.51864,1000.0
1749968835.51864,963.0
1749968836.51864,991.0
1749968837.51864,963.0
1749968838.51864,963.0
1749968839.51864,912.0
1749968840.51864,900.0
1749968841.51864,925.0
1749968842.51864,891.0
1749968843.51864,971.0
1749968844.51864,905.0
1749968845.51864,979.0
1749968846.51864,919.0
1749968847.51864,939.0
1749968848.51864,926.0
1749968849.51864,895.0
1749968850.51864,856.0
1749968851.51864,857.0
1749968852.51864,891.0
1749968853.51864,819.0
1749968854.51864,834.0
1749968855.51864,789.0
1749968856.51864,822.0
1749968857.51864,861.0
1749968858.51864,824.0
1749968859.51864,758.0
1749968860.51864,844.0
1749968861.51864,788.0
1749968862.51864,883.0
1749968863.51864,774.0
1749968864.51864,831.0
1749968865.51864,777.0
1749968866.51864,750.0
1749968867.51864,777.0
1749968868.51864,800.0
1749968869.51864,760.0
1749968870.51864,799.0
1749968871.51864,829.0
1749968872.51864,807.0
1749968873.51864,813.0
1749968874.51864,837.0
1749968875.51864,788.0
1749968876.51864,769.0
1749968877.51864,825.0
1749968878.51864,810.0
1749968879.51864,837.0
1749968880.51864,881.0
1749968881.51864,836.0
1749968882.51864,844.0
