# UCN Hits histogram
# Run 2558
# Cycle 1
# Period 1
# Background data
# Bin size: 1000 ms
# mean current: 4.995762531573956
tUnixTimePrecise,Count
1749889198.5725543,0.0
1749889199.5725543,262.0
1749889200.5725543,262.0
1749889201.5725543,243.0
1749889202.5725543,223.0
1749889203.5725543,223.0
1749889204.5725543,210.0
1749889205.5725543,238.0
1749889206.5725543,239.0
1749889207.5725543,218.0
1749889208.5725543,251.0
1749889209.5725543,217.0
1749889210.5725543,232.0
1749889211.5725543,214.0
1749889212.5725543,241.0
1749889213.5725543,206.0
1749889214.5725543,201.0
1749889215.5725543,217.0
1749889216.5725543,218.0
1749889217.5725543,208.0
1749889218.5725543,246.0
1749889219.5725543,226.0
1749889220.5725543,216.0
1749889221.5725543,196.0
1749889222.5725543,212.0
1749889223.5725543,197.0
1749889224.5725543,235.0
1749889225.5725543,226.0
1749889226.5725543,188.0
1749889227.5725543,200.0
1749889228.5725543,214.0
1749889229.5725543,233.0
1749889230.5725543,217.0
1749889231.5725543,207.0
1749889232.5725543,186.0
1749889233.5725543,196.0
1749889234.5725543,208.0
1749889235.5725543,229.0
1749889236.5725543,228.0
1749889237.5725543,202.0
1749889238.5725543,224.0
1749889239.5725543,194.0
1749889240.5725543,204.0
1749889241.5725543,187.0
1749889242.5725543,193.0
1749889243.5725543,201.0
1749889244.5725543,193.0
1749889245.5725543,193.0
1749889246.5725543,217.0
1749889247.5725543,233.0
1749889248.5725543,171.0
1749889249.5725543,203.0
1749889250.5725543,190.0
1749889251.5725543,207.0
1749889252.5725543,214.0
1749889253.5725543,217.0
1749889254.5725543,187.0
1749889255.5725543,159.0
1749889256.5725543,209.0
1749889257.5725543,191.0
1749889258.5725543,176.0
1749889259.5725543,180.0
1749889260.5725543,226.0
1749889261.5725543,199.0
1749889262.5725543,188.0
1749889263.5725543,200.0
1749889264.5725543,181.0
1749889265.5725543,172.0
1749889266.5725543,176.0
1749889267.5725543,205.0
1749889268.5725543,183.0
1749889269.5725543,184.0
1749889270.5725543,186.0
1749889271.5725543,196.0
1749889272.5725543,172.0
1749889273.5725543,182.0
1749889274.5725543,188.0
1749889275.5725543,169.0
1749889276.5725543,219.0
1749889277.5725543,198.0
1749889278.5725543,176.0
1749889279.5725543,162.0
1749889280.5725543,181.0
1749889281.5725543,175.0
1749889282.5725543,205.0
1749889283.5725543,198.0
1749889284.5725543,181.0
1749889285.5725543,177.0
1749889286.5725543,180.0
1749889287.5725543,192.0
1749889288.5725543,176.0
1749889289.5725543,190.0
1749889290.5725543,178.0
1749889291.5725543,169.0
1749889292.5725543,170.0
1749889293.5725543,199.0
1749889294.5725543,171.0
1749889295.5725543,173.0
1749889296.5725543,182.0
1749889297.5725543,163.0
1749889298.5725543,177.0
1749889299.5725543,168.0
1749889300.5725543,174.0
1749889301.5725543,163.0
1749889302.5725543,184.0
1749889303.5725543,167.0
1749889304.5725543,171.0
1749889305.5725543,188.0
1749889306.5725543,193.0
1749889307.5725543,167.0
1749889308.5725543,183.0
1749889309.5725543,174.0
1749889310.5725543,160.0
1749889311.5725543,170.0
1749889312.5725543,166.0
1749889313.5725543,158.0
1749889314.5725543,173.0
1749889315.5725543,150.0
1749889316.5725543,155.0
1749889317.5725543,183.0
