# UCN Hits histogram
# Run 2558
# Cycle 10
# Period 1
# Background data
# Bin size: 1000 ms
# mean current: 5.001059825603779
tUnixTimePrecise,Count
1749891988.5070145,0.0
1749891989.5070145,244.0
1749891990.5070145,254.0
1749891991.5070145,243.0
1749891992.5070145,241.0
1749891993.5070145,207.0
1749891994.5070145,236.0
1749891995.5070145,237.0
1749891996.5070145,217.0
1749891997.5070145,227.0
1749891998.5070145,221.0
1749891999.5070145,216.0
1749892000.5070145,230.0
1749892001.5070145,223.0
1749892002.5070145,225.0
1749892003.5070145,225.0
1749892004.5070145,213.0
1749892005.5070145,193.0
1749892006.5070145,209.0
1749892007.5070145,204.0
1749892008.5070145,231.0
1749892009.5070145,185.0
1749892010.5070145,225.0
1749892011.5070145,204.0
1749892012.5070145,221.0
1749892013.5070145,229.0
1749892014.5070145,192.0
1749892015.5070145,223.0
1749892016.5070145,186.0
1749892017.5070145,208.0
1749892018.5070145,201.0
1749892019.5070145,211.0
1749892020.5070145,196.0
1749892021.5070145,203.0
1749892022.5070145,221.0
1749892023.5070145,204.0
1749892024.5070145,202.0
1749892025.5070145,188.0
1749892026.5070145,201.0
1749892027.5070145,226.0
1749892028.5070145,175.0
1749892029.5070145,200.0
1749892030.5070145,190.0
1749892031.5070145,211.0
1749892032.5070145,196.0
1749892033.5070145,208.0
1749892034.5070145,207.0
1749892035.5070145,215.0
1749892036.5070145,179.0
1749892037.5070145,213.0
1749892038.5070145,207.0
1749892039.5070145,193.0
1749892040.5070145,166.0
1749892041.5070145,195.0
1749892042.5070145,209.0
1749892043.5070145,197.0
1749892044.5070145,205.0
1749892045.5070145,201.0
1749892046.5070145,190.0
1749892047.5070145,181.0
1749892048.5070145,169.0
1749892049.5070145,187.0
1749892050.5070145,187.0
1749892051.5070145,188.0
1749892052.5070145,195.0
1749892053.5070145,185.0
1749892054.5070145,172.0
1749892055.5070145,178.0
1749892056.5070145,185.0
1749892057.5070145,193.0
1749892058.5070145,164.0
1749892059.5070145,181.0
1749892060.5070145,178.0
1749892061.5070145,208.0
1749892062.5070145,191.0
1749892063.5070145,179.0
1749892064.5070145,186.0
1749892065.5070145,179.0
1749892066.5070145,181.0
1749892067.5070145,178.0
1749892068.5070145,183.0
1749892069.5070145,162.0
1749892070.5070145,180.0
1749892071.5070145,164.0
1749892072.5070145,194.0
1749892073.5070145,182.0
1749892074.5070145,181.0
1749892075.5070145,180.0
1749892076.5070145,162.0
1749892077.5070145,163.0
1749892078.5070145,208.0
1749892079.5070145,158.0
1749892080.5070145,160.0
1749892081.5070145,163.0
1749892082.5070145,167.0
1749892083.5070145,165.0
1749892084.5070145,146.0
1749892085.5070145,184.0
1749892086.5070145,178.0
1749892087.5070145,189.0
1749892088.5070145,142.0
1749892089.5070145,166.0
1749892090.5070145,186.0
1749892091.5070145,166.0
1749892092.5070145,179.0
1749892093.5070145,170.0
1749892094.5070145,161.0
1749892095.5070145,167.0
1749892096.5070145,160.0
1749892097.5070145,143.0
1749892098.5070145,161.0
1749892099.5070145,156.0
1749892100.5070145,171.0
1749892101.5070145,164.0
1749892102.5070145,167.0
1749892103.5070145,152.0
1749892104.5070145,173.0
1749892105.5070145,173.0
1749892106.5070145,160.0
1749892107.5070145,150.0
