# TCN6A-150-10 (Lifetime measurment)
# He3 detector
# 10 seconds irradiation
# 120 seconds counting
# 10 uA
# Derek Fujimoto
# This file written 2025-06-20 11:53:29.309239
run,cycle,counts,counts_bkgd,irr_s,storage_s,count_s,bkgd_s,beam1a_current_uA,dbeam1a_current_uA,beam1u_current_uA,dbeam1u_current_uA
2688,0,46464,0,61.59999990463257,0.0,122.40000009536743,122.40000009536743,99.9124430903682,0.04065586174955123,9.623900378191912,0.2592896566653477
2688,1,551,0,61.0,120.5,122.5,122.5,100.00577629937067,0.0413033614024352,9.813087428057635,0.1852037092047664
2688,2,42711,0,61.0,2.5,122.5,122.5,99.81817195100605,0.05743910896769956,9.79424705145494,0.1884449295985621
2688,3,2152,0,61.0,80.5,122.5,122.5,99.92093926888926,0.05370942803637512,9.617113749186197,0.2591255812218644
2689,0,9458,0,60.0,40.0,124.0,124.0,100.01100217379056,0.05343030771029089,9.998457266734196,0.005318769481622817
2689,1,31088,0,60.0,10.0,124.0,124.0,99.88301172796285,0.051777934377444414,9.796841873312896,0.1884794473024036
2689,2,20631,0,60.0,20.0,124.0,124.0,99.95814455472507,0.05116058263860169,9.994052483485294,0.005169319974009161
2689,3,3,56,60.0,0.0,4.0,240.0,99.96944744182083,0.048392265116108946,9.807214125147405,0.18866299571003017
2689,4,37692,0,60.0,5.0,124.0,124.0,99.9933829674354,0.05571682264684536,9.996695390114418,0.005673185983993515
